,text,emotion_label,stress_label
27,seneng banget hari ini ketemu temen lama wkwk pas perjalanan sendiri,happy,0.12
28,lagi duduk sambil denger musik bareng temen sama dia,neutral,0.34
29,geram banget sama pelayanan tadi sumpah di rumah sama keluarga,angry,0.93
30,makasih ya udah bikin hariku lebih baik agak random sih di rumah sendiri,happy,0.27
31,hari ini berat banget dijalanin sumpah sama temen kantor,sad,0.57
32,lagi baca berita sambil santai wkwk bareng temen sama keluarga,neutral,0.34
33,akhirnya tugas selesai juga lega banget dan kepikiran terus di kampus sama dia,happy,0.09
34,dapat kabar baik dari keluarga tadi pagi wkwk tadi pagi,happy,0.1
35,kehilangan semangat buat ngapa ngapain jujur aja sama temen kantor,sad,0.78
36,kesel banget sama orang yang ga tepat waktu agak random sih pas perjalanan sama keluarga,angry,0.9
37,orang itu bikin emosi banget padahal udah coba santai sama dia,angry,0.81
38,hari ini berat banget dijalanin hari ini pas perjalanan sama temen kantor,sad,0.71
39,baru selesai makan siang tadi tapi yaudahlah bareng temen sama dia,neutral,0.44
40,kenapa sih harus bikin masalah terus agak random sih,angry,0.79
41,takut kalau hasilnya jelek agak random sih tadi pagi sama temen kantor,anxious,0.9
42,hari ini ga ada hal spesial dari tadi kepikiran,neutral,0.3
43,capek sih tapi puas hasilnya bagus serius pas perjalanan sendiri,happy,0.22
44,bingung dan takut ambil keputusan dan kepikiran terus di kantor sama temen kantor,anxious,0.83
45,takut kalau hasilnya jelek sumpah pas perjalanan sama keluarga,anxious,0.76
46,rasanya kosong aja hari ini banget asli pas perjalanan,sad,0.85
47,capek sama keadaan sekarang hari ini pas perjalanan sama dia,sad,0.62
48,kesal banget hari ini sih di kampus sama dia,angry,0.89
49,hari ini ga ada hal spesial padahal udah coba santai di rumah,neutral,0.34
50,capek ngadepin orang yang egois padahal udah coba santai bareng temen sama temen kantor,angry,0.76
51,masih susah move on dari kejadian itu banget bareng temen sendiri,sad,0.62
52,khawatir sama kondisi sekarang wkwk di rumah sendiri,anxious,0.87
53,capek ngadepin orang yang egois jujur aja di kampus sendiri,angry,0.87
54,kecewa banget sama hasilnya wkwk di kantor sama temen kantor,sad,0.76
55,kenapa sih harus bikin masalah terus sih sama dia,angry,0.72
56,sekarang lagi nonton youtube sumpah di kampus sama keluarga,neutral,0.41
57,hari ini biasa aja seperti biasanya tapi yaudahlah tadi pagi sama keluarga,neutral,0.45
58,sekarang lagi nonton youtube banget asli tadi pagi sama keluarga,neutral,0.27
59,capek sih tapi puas hasilnya bagus dari tadi kepikiran waktu malam,happy,0.2
60,hari ini berat banget dijalanin sih di kantor sama temen kantor,sad,0.57
61,hari ini biasa aja seperti biasanya jujur aja waktu malam sama keluarga,neutral,0.4
62,lagi duduk sambil denger musik dan kepikiran terus bareng temen,neutral,0.44
63,capek sama keadaan sekarang sih waktu malam sama temen kantor,sad,0.58
64,capek sih tapi puas hasilnya bagus tapi yaudahlah di rumah,happy,0.18
65,hari ini berat banget dijalanin hari ini di rumah sama dia,sad,0.79
66,rasanya pengen marah terus banget di rumah sama dia,angry,0.79
67,tadi pagi pergi sebentar ke minimarket banget asli di kampus sama temen kantor,neutral,0.42
68,sekarang lagi nonton youtube agak random sih di kampus sama temen kantor,neutral,0.29
69,rasanya pengen marah terus padahal udah coba santai tadi pagi sama keluarga,angry,0.66
70,deg degan nunggu hasil pengumuman banget asli di rumah sama dia,anxious,0.95
71,hari ini biasa aja seperti biasanya banget bareng temen sama dia,neutral,0.4
72,makasih ya udah bikin hariku lebih baik wkwk tadi pagi sama keluarga,happy,0.18
73,deg degan nunggu hasil pengumuman sumpah di kampus sama keluarga,anxious,0.91
74,cuaca hari ini lumayan panas hari ini pas perjalanan sendiri,neutral,0.42
75,anxious banget sebelum meeting tadi waktu malam,anxious,0.97
76,lagi duduk sambil denger musik dari tadi kepikiran waktu malam sendiri,neutral,0.21
77,capek sih tapi puas hasilnya bagus sih di rumah sendiri,happy,0.09
78,ngerasa sendirian akhir akhir ini waktu malam,sad,0.69
79,udah sabar tapi masih dibohongin serius waktu malam sama temen kantor,angry,0.67
80,capek sih tapi puas hasilnya bagus dan kepikiran terus sendiri,happy,0.29
81,akhirnya lolos interview kerja bareng temen sama dia,happy,0.11
82,sekarang lagi nonton youtube banget bareng temen sama dia,neutral,0.24
83,seneng banget hari ini ketemu temen lama dan kepikiran terus waktu malam sama keluarga,happy,0.15
84,malam ini kepikiran terus jadi sedih tapi yaudahlah bareng temen,sad,0.61
85,rasanya gugup terus hari ini hari ini sama dia,anxious,0.86
86,kepikiran banyak hal sampai susah tidur dari tadi kepikiran di rumah sama temen kantor,anxious,0.76
87,hari ini ga ada hal spesial hari ini tadi pagi sendiri,neutral,0.44
88,capek sama keadaan sekarang hari ini di rumah sama temen kantor,sad,0.78
89,aku cuma pengen istirahat sebentar serius waktu malam sama temen kantor,sad,0.78
90,kecewa banget sama hasilnya banget di rumah sama dia,sad,0.6
91,makasih ya udah bikin hariku lebih baik wkwk di kantor sama keluarga,happy,0.19
92,lagi baca berita sambil santai banget di rumah sendiri,neutral,0.24
93,rasanya gugup terus hari ini di rumah sama temen kantor,anxious,0.84
94,hari ini biasa aja seperti biasanya sumpah di kantor,neutral,0.3
95,makasih ya udah bikin hariku lebih baik hari ini di kantor sama temen kantor,happy,0.19
96,akhirnya lolos interview kerja wkwk pas perjalanan sendiri,happy,0.12
97,kepikiran banyak hal sampai susah tidur sih bareng temen sendiri,anxious,0.74
98,hari ini berat banget dijalanin dan kepikiran terus pas perjalanan,sad,0.65
99,masih susah move on dari kejadian itu agak random sih pas perjalanan sendiri,sad,0.56
100,khawatir sama kondisi sekarang jujur aja di kantor,anxious,0.89
101,rasanya sedih banget akhir akhir ini dari tadi kepikiran pas perjalanan sama dia,sad,0.71
102,makan favorit hari ini bikin bahagia agak random sih pas perjalanan,happy,0.13
103,akhir akhir ini overthinking terus serius pas perjalanan sama dia,anxious,0.73
104,rasanya sedih banget akhir akhir ini serius di kantor sendiri,sad,0.8
105,kepikiran banyak hal sampai susah tidur serius di rumah sendiri,anxious,0.72
106,akhir akhir ini overthinking terus waktu malam sama temen kantor,anxious,0.97
107,takut gagal di presentasi besok tapi yaudahlah di rumah,anxious,0.96
108,hari ini biasa aja seperti biasanya sih di kampus,neutral,0.29
109,akhirnya tugas selesai juga lega banget tapi yaudahlah tadi pagi sendiri,happy,0.08
110,marah banget karena kerjaan berantakan bareng temen sama dia,angry,0.87
111,kepikiran banyak hal sampai susah tidur banget bareng temen sama keluarga,anxious,0.81
112,senyum sendiri pas inget kejadian tadi sih bareng temen,happy,0.07
113,orang itu bikin emosi banget banget di kantor sama dia,angry,0.84
114,emosi lihat komentar orang tadi serius di rumah sama keluarga,angry,0.67
115,deg degan nunggu hasil pengumuman sih waktu malam,anxious,0.88
116,bingung dan takut ambil keputusan pas perjalanan,anxious,0.73
117,hari ini produktif dan mood bagus serius di rumah sama keluarga,happy,0.25
118,masih susah move on dari kejadian itu dari tadi kepikiran pas perjalanan sama keluarga,sad,0.66
119,cemas mikirin masa depan padahal udah coba santai di kampus sama keluarga,anxious,0.92
120,kepikiran banyak hal sampai susah tidur sumpah pas perjalanan sama keluarga,anxious,0.93
121,akhirnya tugas selesai juga lega banget sumpah di kantor sama dia,happy,0.11
122,dapat kabar baik dari keluarga tadi pagi agak random sih di kampus sendiri,happy,0.26
123,senyum sendiri pas inget kejadian tadi wkwk pas perjalanan sama dia,happy,0.21
124,kehilangan semangat buat ngapa ngapain sih di kantor,sad,0.63
125,capek ngadepin orang yang egois banget di kantor sama dia,angry,0.84
126,kecewa banget sama hasilnya padahal udah coba santai pas perjalanan sama dia,sad,0.78
127,seneng banget hari ini ketemu temen lama sumpah sama keluarga,happy,0.29
128,lagi duduk sambil denger musik dari tadi kepikiran di rumah sama dia,neutral,0.3
129,rasanya gugup terus hari ini serius di rumah sama dia,anxious,0.83
130,takut kalau hasilnya jelek hari ini di kampus,anxious,0.8
131,besok ada jadwal meeting rutin banget asli di kantor sama temen kantor,neutral,0.31
132,khawatir sama kondisi sekarang serius di kantor,anxious,0.9
133,aku cuma pengen istirahat sebentar banget asli waktu malam,sad,0.82
134,udah sabar tapi masih dibohongin dari tadi kepikiran pas perjalanan sendiri,angry,0.94
135,kenapa sih harus bikin masalah terus banget asli bareng temen sama keluarga,angry,0.82
136,sekarang lagi nonton youtube padahal udah coba santai di kampus sama dia,neutral,0.34
137,hari ini berat banget dijalanin wkwk di kampus sama keluarga,sad,0.63
138,udah sabar tapi masih dibohongin banget di kampus sama temen kantor,angry,0.81
139,takut gagal di presentasi besok serius waktu malam,anxious,0.82
140,khawatir sama kondisi sekarang serius tadi pagi sendiri,anxious,0.91
141,geram banget sama pelayanan tadi hari ini tadi pagi sama keluarga,angry,0.75
142,deg degan nunggu hasil pengumuman jujur aja bareng temen sama temen kantor,anxious,0.91
143,emosi lihat komentar orang tadi dan kepikiran terus waktu malam sama keluarga,angry,0.82
144,geram banget sama pelayanan tadi tapi yaudahlah pas perjalanan sendiri,angry,0.82
145,malam ini kepikiran terus jadi sedih sih di kampus sama dia,sad,0.61
146,akhir minggu ini seru banget padahal udah coba santai di kampus sama temen kantor,happy,0.1
147,akhir akhir ini overthinking terus tapi yaudahlah di kampus,anxious,0.8
148,rasanya pengen marah terus wkwk pas perjalanan,angry,0.94
149,kesal banget hari ini padahal udah coba santai bareng temen sendiri,angry,0.83
150,rasanya gugup terus hari ini dari tadi kepikiran tadi pagi sama temen kantor,anxious,0.88
151,khawatir sama kondisi sekarang tapi yaudahlah tadi pagi sama temen kantor,anxious,0.74
152,takut kalau hasilnya jelek dan kepikiran terus di rumah sama keluarga,anxious,0.71
153,rasanya pengen marah terus wkwk di rumah sama temen kantor,angry,0.74
154,makan favorit hari ini bikin bahagia di kantor sendiri,happy,0.07
155,akhirnya lolos interview kerja dari tadi kepikiran di kampus sama temen kantor,happy,0.16
156,kecewa banget sama hasilnya serius di rumah sama temen kantor,sad,0.67
157,makan favorit hari ini bikin bahagia agak random sih di kampus sendiri,happy,0.29
158,hari ini ga ada hal spesial banget asli waktu malam sama temen kantor,neutral,0.33
159,rasanya pengen marah terus dari tadi kepikiran waktu malam sama dia,angry,0.74
160,lagi duduk sambil denger musik tapi yaudahlah di kampus sama temen kantor,neutral,0.24
161,rasanya pengen marah terus banget di rumah sama temen kantor,angry,0.88
162,masih susah move on dari kejadian itu banget asli pas perjalanan sendiri,sad,0.59
163,geram banget sama pelayanan tadi tadi pagi sama keluarga,angry,0.9
164,hari ini ga ada hal spesial serius bareng temen sendiri,neutral,0.32
165,habis beresin kamar dan lanjut kerja agak random sih di kampus sama keluarga,neutral,0.37
166,hari ini ga ada hal spesial serius di kampus sama temen kantor,neutral,0.37
167,kehilangan semangat buat ngapa ngapain banget di kantor sama dia,sad,0.55
168,sekarang lagi nonton youtube sumpah di kampus sama dia,neutral,0.37
169,marah banget karena kerjaan berantakan sih waktu malam,angry,0.68
170,seneng banget hari ini ketemu temen lama banget di kantor sama keluarga,happy,0.09
171,marah banget karena kerjaan berantakan padahal udah coba santai sama temen kantor,angry,0.76
172,dapat kabar baik dari keluarga tadi pagi serius pas perjalanan sama keluarga,happy,0.22
173,capek sama keadaan sekarang dan kepikiran terus pas perjalanan sama dia,sad,0.71
174,anxious banget sebelum meeting tadi padahal udah coba santai waktu malam sama dia,anxious,0.98
175,baru selesai makan siang tadi jujur aja tadi pagi sama dia,neutral,0.41
176,seneng banget hari ini ketemu temen lama padahal udah coba santai tadi pagi sendiri,happy,0.29
177,senyum sendiri pas inget kejadian tadi agak random sih pas perjalanan sama keluarga,happy,0.26
178,kehilangan semangat buat ngapa ngapain banget sama dia,sad,0.69
179,dapat kabar baik dari keluarga tadi pagi dari tadi kepikiran di kantor sendiri,happy,0.15
180,ngerasa sendirian akhir akhir ini jujur aja sama keluarga,sad,0.58
181,kepikiran banyak hal sampai susah tidur wkwk di rumah sendiri,anxious,0.89
182,kepikiran banyak hal sampai susah tidur jujur aja di kampus sama dia,anxious,0.84
183,rasanya sedih banget akhir akhir ini jujur aja tadi pagi sama dia,sad,0.82
184,capek ngadepin orang yang egois dari tadi kepikiran di kantor sama temen kantor,angry,0.94
185,lagi baca berita sambil santai dan kepikiran terus di rumah sama keluarga,neutral,0.42
186,makan favorit hari ini bikin bahagia hari ini di kantor,happy,0.18
187,kepikiran banyak hal sampai susah tidur sih di kantor sama temen kantor,anxious,0.7
188,udah sabar tapi masih dibohongin padahal udah coba santai waktu malam sama temen kantor,angry,0.73
189,hari ini produktif dan mood bagus tapi yaudahlah di rumah sendiri,happy,0.15
190,udah sabar tapi masih dibohongin banget tadi pagi sama dia,angry,0.79
191,makan favorit hari ini bikin bahagia padahal udah coba santai di kampus sama dia,happy,0.13
192,baru selesai makan siang tadi sih waktu malam sama temen kantor,neutral,0.23
193,takut gagal di presentasi besok dari tadi kepikiran di kampus sama dia,anxious,0.72
194,hari ini biasa aja seperti biasanya sih tadi pagi sama temen kantor,neutral,0.28
195,rasanya pengen marah terus tapi yaudahlah di rumah sendiri,angry,0.82
196,udah sabar tapi masih dibohongin tadi pagi sama temen kantor,angry,0.76
197,dapat kabar baik dari keluarga tadi pagi padahal udah coba santai bareng temen sama keluarga,happy,0.18
198,makan favorit hari ini bikin bahagia banget asli di kantor sama keluarga,happy,0.19
199,senyum sendiri pas inget kejadian tadi agak random sih sendiri,happy,0.22
200,cuaca hari ini lumayan panas hari ini di rumah,neutral,0.3
201,kehilangan semangat buat ngapa ngapain agak random sih di kantor sama keluarga,sad,0.62
202,rasanya pengen marah terus tapi yaudahlah,angry,0.72
203,ngerasa sendirian akhir akhir ini banget di rumah sama keluarga,sad,0.83
204,malam ini kepikiran terus jadi sedih jujur aja waktu malam,sad,0.57
205,akhir akhir ini overthinking terus tapi yaudahlah pas perjalanan sama temen kantor,anxious,0.88
206,rasanya kosong aja hari ini dan kepikiran terus waktu malam sama temen kantor,sad,0.64
207,capek sih tapi puas hasilnya bagus dari tadi kepikiran bareng temen,happy,0.24
208,kesal banget hari ini sih pas perjalanan,angry,0.79
209,akhirnya lolos interview kerja dari tadi kepikiran di kampus sama temen kantor,happy,0.26
210,hari ini berat banget dijalanin banget di kantor sama temen kantor,sad,0.55
211,aku cuma pengen istirahat sebentar jujur aja sama dia,sad,0.68
212,lagi duduk sambil denger musik sih pas perjalanan sama temen kantor,neutral,0.34
213,akhir minggu ini seru banget banget waktu malam sama dia,happy,0.11
214,capek sama keadaan sekarang dan kepikiran terus pas perjalanan sama keluarga,sad,0.76
215,takut gagal di presentasi besok agak random sih bareng temen,anxious,0.88
216,cuaca hari ini lumayan panas jujur aja di kampus sama dia,neutral,0.45
217,rasanya gugup terus hari ini wkwk di kampus sendiri,anxious,0.85
218,geram banget sama pelayanan tadi sih di kantor sendiri,angry,0.7
219,kepikiran banyak hal sampai susah tidur wkwk tadi pagi sama temen kantor,anxious,0.76
220,rasanya kosong aja hari ini padahal udah coba santai di kantor sama keluarga,sad,0.78
221,kenapa sih harus bikin masalah terus hari ini di kampus sendiri,angry,0.66
222,tadi pagi pergi sebentar ke minimarket tapi yaudahlah di rumah sama keluarga,neutral,0.29
223,aku cuma pengen istirahat sebentar serius di kampus sama temen kantor,sad,0.73
224,rasanya pengen marah terus padahal udah coba santai bareng temen sama dia,angry,0.92
225,ngerasa sendirian akhir akhir ini dan kepikiran terus di kantor,sad,0.8
226,kehilangan semangat buat ngapa ngapain banget asli tadi pagi sendiri,sad,0.59
227,capek ngadepin orang yang egois serius di kampus sendiri,angry,0.77
228,akhirnya lolos interview kerja jujur aja sama temen kantor,happy,0.09
229,makan favorit hari ini bikin bahagia dan kepikiran terus bareng temen sama keluarga,happy,0.28
230,takut gagal di presentasi besok dari tadi kepikiran waktu malam,anxious,0.77
231,capek sih tapi puas hasilnya bagus banget asli pas perjalanan sama temen kantor,happy,0.28
232,deg degan nunggu hasil pengumuman jujur aja bareng temen,anxious,0.78
233,akhir akhir ini overthinking terus serius di kampus sama keluarga,anxious,0.83
234,khawatir sama kondisi sekarang padahal udah coba santai di kampus,anxious,0.91
235,habis beresin kamar dan lanjut kerja sih bareng temen sendiri,neutral,0.29
236,geram banget sama pelayanan tadi sumpah waktu malam sendiri,angry,0.76
237,kepikiran banyak hal sampai susah tidur waktu malam sama keluarga,anxious,0.95
238,kehilangan semangat buat ngapa ngapain serius tadi pagi sama dia,sad,0.82
239,kenapa sih harus bikin masalah terus banget asli bareng temen sendiri,angry,0.89
240,khawatir sama kondisi sekarang dan kepikiran terus di kantor sama keluarga,anxious,0.83
241,anxious banget sebelum meeting tadi dari tadi kepikiran waktu malam sama temen kantor,anxious,0.83
242,rasanya pengen marah terus hari ini tadi pagi sama temen kantor,angry,0.75
243,kenapa sih harus bikin masalah terus serius di rumah sama dia,angry,0.92
244,rasanya pengen marah terus agak random sih di rumah sama temen kantor,angry,0.92
245,tadi pagi pergi sebentar ke minimarket sumpah di rumah sendiri,neutral,0.22
246,emosi lihat komentar orang tadi agak random sih waktu malam,angry,0.79
247,capek ngadepin orang yang egois tadi pagi sama temen kantor,angry,0.94
248,akhir akhir ini overthinking terus sumpah di kantor,anxious,0.74
249,rasanya sedih banget akhir akhir ini padahal udah coba santai pas perjalanan sama temen kantor,sad,0.62
250,sekarang lagi nonton youtube serius tadi pagi sendiri,neutral,0.38
251,senyum sendiri pas inget kejadian tadi padahal udah coba santai tadi pagi sama keluarga,happy,0.19
252,marah banget karena kerjaan berantakan wkwk tadi pagi,angry,0.8
253,hari ini ga ada hal spesial sumpah di kantor sama keluarga,neutral,0.3
254,kesal banget hari ini banget di rumah sama dia,angry,0.87
255,kehilangan semangat buat ngapa ngapain hari ini di kantor sama keluarga,sad,0.84
256,takut gagal di presentasi besok agak random sih tadi pagi sama keluarga,anxious,0.73
257,akhirnya tugas selesai juga lega banget tadi pagi sama keluarga,happy,0.1
258,khawatir sama kondisi sekarang hari ini tadi pagi sama keluarga,anxious,0.91
259,tadi pagi pergi sebentar ke minimarket agak random sih pas perjalanan sama keluarga,neutral,0.31
260,rasanya pengen marah terus padahal udah coba santai sendiri,angry,0.8
261,geram banget sama pelayanan tadi tapi yaudahlah pas perjalanan sama dia,angry,0.76
262,besok ada jadwal meeting rutin sumpah di kampus,neutral,0.3
263,rasanya kosong aja hari ini banget asli di kampus sama temen kantor,sad,0.66
264,hari ini produktif dan mood bagus agak random sih di kantor sama temen kantor,happy,0.26
265,hari ini produktif dan mood bagus banget waktu malam,happy,0.22
266,takut gagal di presentasi besok wkwk di rumah sama temen kantor,anxious,0.72
267,emosi lihat komentar orang tadi banget di kantor sama temen kantor,angry,0.67
268,takut kalau hasilnya jelek agak random sih pas perjalanan sama temen kantor,anxious,0.97
269,makasih ya udah bikin hariku lebih baik wkwk di kampus sama keluarga,happy,0.24
270,akhirnya tugas selesai juga lega banget dan kepikiran terus di kantor sama dia,happy,0.18
271,cuaca hari ini lumayan panas sumpah di kantor sendiri,neutral,0.23
272,aku cuma pengen istirahat sebentar banget asli waktu malam sama temen kantor,sad,0.8
273,udah sabar tapi masih dibohongin dari tadi kepikiran di kantor sama temen kantor,angry,0.72
274,khawatir sama kondisi sekarang banget waktu malam sama keluarga,anxious,0.83
275,habis beresin kamar dan lanjut kerja wkwk sama keluarga,neutral,0.33
276,capek sama keadaan sekarang agak random sih di kantor sendiri,sad,0.78
277,kenapa sih harus bikin masalah terus dan kepikiran terus tadi pagi sendiri,angry,0.94
278,masih susah move on dari kejadian itu agak random sih di kampus sendiri,sad,0.85
279,tadi pagi pergi sebentar ke minimarket padahal udah coba santai di kampus,neutral,0.24
280,hari ini produktif dan mood bagus hari ini bareng temen,happy,0.15
281,rasanya gugup terus hari ini serius sendiri,anxious,0.71
282,kehilangan semangat buat ngapa ngapain agak random sih pas perjalanan sama dia,sad,0.8
283,khawatir sama kondisi sekarang banget waktu malam sendiri,anxious,0.8
284,rasanya kosong aja hari ini pas perjalanan sendiri,sad,0.67
285,masih susah move on dari kejadian itu tapi yaudahlah di kantor sama keluarga,sad,0.75
286,anxious banget sebelum meeting tadi wkwk waktu malam sama dia,anxious,0.73
287,habis beresin kamar dan lanjut kerja hari ini pas perjalanan sama dia,neutral,0.27
288,tadi pagi pergi sebentar ke minimarket agak random sih bareng temen sama keluarga,neutral,0.27
289,geram banget sama pelayanan tadi sih pas perjalanan sama temen kantor,angry,0.68
290,malam ini kepikiran terus jadi sedih padahal udah coba santai,sad,0.63
291,capek ngadepin orang yang egois padahal udah coba santai di kampus sama keluarga,angry,0.7
292,dapat kabar baik dari keluarga tadi pagi dari tadi kepikiran di kampus sama dia,happy,0.21
293,hari ini ga ada hal spesial dari tadi kepikiran pas perjalanan sendiri,neutral,0.31
294,deg degan nunggu hasil pengumuman dan kepikiran terus di rumah sama temen kantor,anxious,0.76
295,kepikiran banyak hal sampai susah tidur banget sama keluarga,anxious,0.73
296,masih susah move on dari kejadian itu jujur aja sama keluarga,sad,0.59
297,masih susah move on dari kejadian itu sih di rumah,sad,0.59
298,dapat kabar baik dari keluarga tadi pagi sumpah tadi pagi,happy,0.21
299,cuaca hari ini lumayan panas sumpah pas perjalanan sama dia,neutral,0.32
300,cemas mikirin masa depan wkwk sendiri,anxious,0.82
301,tadi pagi pergi sebentar ke minimarket tapi yaudahlah di kantor sama dia,neutral,0.38
302,deg degan nunggu hasil pengumuman hari ini waktu malam,anxious,0.92
303,sekarang lagi nonton youtube sendiri,neutral,0.45
304,rasanya sedih banget akhir akhir ini agak random sih di kantor sama keluarga,sad,0.77
305,rasanya pengen marah terus jujur aja di kantor,angry,0.92
306,kesal banget hari ini serius,angry,0.74
307,emosi lihat komentar orang tadi wkwk pas perjalanan sama temen kantor,angry,0.74
308,kesel banget sama orang yang ga tepat waktu jujur aja di kampus sama temen kantor,angry,0.79
309,lagi duduk sambil denger musik banget waktu malam sama dia,neutral,0.43
310,ngerasa sendirian akhir akhir ini serius tadi pagi sendiri,sad,0.7
311,ngerasa sendirian akhir akhir ini wkwk bareng temen sama dia,sad,0.84
312,aku cuma pengen istirahat sebentar jujur aja waktu malam,sad,0.85
313,kesal banget hari ini banget asli bareng temen sama dia,angry,0.91
314,bingung dan takut ambil keputusan sih pas perjalanan,anxious,0.73
315,lagi duduk sambil denger musik sih sama temen kantor,neutral,0.43
316,emosi lihat komentar orang tadi padahal udah coba santai di kampus sendiri,angry,0.83
317,bingung dan takut ambil keputusan padahal udah coba santai di kantor sama dia,anxious,0.88
318,rasanya gugup terus hari ini tapi yaudahlah sama temen kantor,anxious,0.89
319,capek sama keadaan sekarang banget bareng temen sama dia,sad,0.71
320,senyum sendiri pas inget kejadian tadi agak random sih tadi pagi sama keluarga,happy,0.13
321,hari ini ga ada hal spesial dari tadi kepikiran di rumah sama dia,neutral,0.41
322,takut kalau hasilnya jelek wkwk di kampus,anxious,0.77
323,akhirnya lolos interview kerja hari ini di kampus sama temen kantor,happy,0.3
324,hari ini berat banget dijalanin dan kepikiran terus di rumah,sad,0.78
325,capek sama keadaan sekarang padahal udah coba santai bareng temen sama temen kantor,sad,0.56
326,senyum sendiri pas inget kejadian tadi banget asli bareng temen sama dia,happy,0.09
327,makasih ya udah bikin hariku lebih baik jujur aja bareng temen sama keluarga,happy,0.23
328,udah sabar tapi masih dibohongin sumpah di kampus,angry,0.87
329,rasanya sedih banget akhir akhir ini padahal udah coba santai sendiri,sad,0.81
330,makasih ya udah bikin hariku lebih baik sumpah di kantor sama dia,happy,0.05
331,rasanya pengen marah terus dari tadi kepikiran di rumah sama temen kantor,angry,0.84
332,kehilangan semangat buat ngapa ngapain dari tadi kepikiran tadi pagi sama dia,sad,0.61
333,seneng banget hari ini ketemu temen lama agak random sih sendiri,happy,0.21
334,marah banget karena kerjaan berantakan sumpah di rumah sama dia,angry,0.7
335,udah sabar tapi masih dibohongin dan kepikiran terus pas perjalanan sama temen kantor,angry,0.88
336,sekarang lagi nonton youtube dan kepikiran terus waktu malam,neutral,0.41
337,capek sih tapi puas hasilnya bagus serius tadi pagi sama temen kantor,happy,0.2
338,sekarang lagi nonton youtube sih sendiri,neutral,0.22
339,deg degan nunggu hasil pengumuman jujur aja waktu malam sama temen kantor,anxious,0.83
340,cemas mikirin masa depan agak random sih pas perjalanan sama temen kantor,anxious,0.8
341,khawatir sama kondisi sekarang dari tadi kepikiran sama dia,anxious,0.86
342,lagi duduk sambil denger musik sih di kampus,neutral,0.23
343,ngerasa sendirian akhir akhir ini tapi yaudahlah sendiri,sad,0.76
344,hari ini biasa aja seperti biasanya dari tadi kepikiran bareng temen sama keluarga,neutral,0.43
345,akhirnya lolos interview kerja sih di rumah,happy,0.19
346,kehilangan semangat buat ngapa ngapain agak random sih tadi pagi sendiri,sad,0.81
347,rasanya sedih banget akhir akhir ini tapi yaudahlah di kampus sendiri,sad,0.8
348,udah sabar tapi masih dibohongin sumpah waktu malam sama keluarga,angry,0.88
349,hari ini produktif dan mood bagus wkwk sama keluarga,happy,0.14
350,akhir akhir ini overthinking terus pas perjalanan sama temen kantor,anxious,0.82
351,hari ini produktif dan mood bagus banget asli tadi pagi,happy,0.08
352,capek sih tapi puas hasilnya bagus agak random sih di kampus sendiri,happy,0.1
353,makan favorit hari ini bikin bahagia banget di rumah,happy,0.13
354,takut gagal di presentasi besok banget tadi pagi sama keluarga,anxious,0.74
355,dapat kabar baik dari keluarga tadi pagi tapi yaudahlah di rumah sama keluarga,happy,0.09
356,marah banget karena kerjaan berantakan tapi yaudahlah di kampus sama dia,angry,0.71
357,kesel banget sama orang yang ga tepat waktu padahal udah coba santai sendiri,angry,0.9
